WALS feature	Feature_ID	Comment
144A Position of Negative Word With Respect to Subject, Object, and Verb		
97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun		
93A Position of Interrogative Phrases in Content Questions	GB326	Not exact match
81A Order of Subject, Object and Verb	GB131	
81A Order of Subject, Object and Verb	GB132	
81A Order of Subject, Object and Verb	GB133	
82A Order of Subject and Verb	GB130a	
82A Order of Subject and Verb	GB130b	
95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase		
83A Order of Object and Verb		
89A Order of Numeral and Noun	GB24a	
89A Order of Numeral and Noun	GB24b	
92A Position of Polar Question Particles	GB262	
92A Position of Polar Question Particles	GB263	
92A Position of Polar Question Particles	GB264	
85A Order of Adposition and Noun Phrase	GB074	
85A Order of Adposition and Noun Phrase	GB075	
86A Order of Genitive and Noun 	GB065a	
86A Order of Genitive and Noun 	GB065b	
107A Passive Constructions	GB147	
107A Passive Constructions	GB302	
57A Position of Pronominal Possessive Affixes 	GB431	
57A Position of Pronominal Possessive Affixes 	GB433	
51A Position of Case Affixes 		
6A Uvular Consonants		
96A Relationship between the Order of Object and Verb and the Order of Relative clause and Noun		
88A Order of Demonstrative and Noun 	GB025a	
88A Order of Demonstrative and Noun 	GB025b	
1A Consonant Inventories		
118A Predicative Adjectives 	GB068	
4A Voicing in Plosives and Fricatives 		
78A Coding of Evidentiality	GB322	
78A Coding of Evidentiality	GB323	
91A Order of Degree Word and Adjective 		
87A Order of Adjective and Noun 	GB193a	
87A Order of Adjective and Noun 	GB193b	
77A Semantic Distinctions of Evidentiality	GB322	
77A Semantic Distinctions of Evidentiality	GB323	
 120A Zero Copula for Predicate Nominals 	GB117	
37A Definite Articles 	GB020	
38A Indefinite Articles 	GB021	
9A The Velar Nasal 		
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB079	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB080	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB090	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB092	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB094	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB089	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB091	
26A Prefixing vs. Suffixing in Inflectional Morphology 	GB093	
112A Negative Morphemes	GB107	
112A Negative Morphemes	GB298	
112A Negative Morphemes	GB299	
119A Nominal and Locational Predication 		
5A Voicing and Gaps in Plosive Systems 		
27A Reduplication 	GB158	
27A Reduplication 	GB159	
27A Reduplication 	GB160	
2A Vowel Quality Inventories		
143A Order of Negative Morpheme and Verb 	GB137	Not exact match
143A Order of Negative Morpheme and Verb 	GB138	Not exact match
19A Presence of Uncommon Consonants 		
143F Postverbal Negative Morphemes 	GB137	Not exact match
69A Position of Tense-Aspect Affixes 		
71A The Prohibitive 	GB139	
129A Hand and Arm 		
7A Glottalized Consonants 		
11A Front Rounded Vowels 		
143E Preverbal Negative Morphemes 	GB138	
84A Order of Object, Oblique, and Verb 		
12A Syllable Structure 		
103A Third Person Zero of Verbal Person Marking 	GB522	Not exact match
55A Numeral Classifiers	GB057	
52A Comitatives and Instrumentals		
73A The Optative 		
101A Expression of Pronominal Subjects		
113A Symmetric and Asymmetric Standard Negation 	GB400	Not exact match
17A Rhythm Types		
64A Nominal and Verbal Conjunction		
53A Ordinal Numerals		
16A Weight Factors in Weight-Sensitive Stress Systems 		
102A Verbal Person Marking	GB089	Not exact match
102A Verbal Person Marking	GB090	Not exact match
102A Verbal Person Marking	GB091	Not exact match
102A Verbal Person Marking	GB092	Not exact match
102A Verbal Person Marking	GB093	Not exact match
102A Verbal Person Marking	GB094	Not exact match
 46A Indefinite Pronouns 		
130A Finger and Hand		
3A Consonant-Vowel Ratio 		
15A Weight-Sensitive Stress 		
100A Alignment of Verbal Person Marking 		
14A Fixed Stress Locations		
70A The Morphological Imperative 		
124A ’Want’ Complement Subjects		
48A Person Marking on Adpositions		
44A Gender Distinctions in Independent Personal Pronouns 	GB030	
90A Order of Relative Clause and Noun 	GB327	
90A Order of Relative Clause and Noun 	GB328	
90A Order of Relative Clause and Noun 	GB329	
90A Order of Relative Clause and Noun 	GB330	
90A Order of Relative Clause and Noun 	GB331	
116A Polar Questions	GB257	
116A Polar Questions	GB260	
116A Polar Questions	GB285	
116A Polar Questions	GB286	
116A Polar Questions	GB291	
116A Polar Questions	GB297	
90C Postnominal relative clauses	GB327	
90C Postnominal relative clauses	GB329	
90C Postnominal relative clauses	GB330	
90C Postnominal relative clauses	GB331	
 33A Coding of Nominal Plurality 	GB044	
 33A Coding of Nominal Plurality 	GB318	
104A Order of Person Markers on the Verb 		
72A Imperative-Hortative Systems 		
105A Ditransitive Constructions: The Verb ’Give’	GB105	
114A Subtypes of Asymmetric Standard Negation		
143G Minor morphological means of signaling negation		
144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 	GB137	
144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb 	GB138	
13A Tone 		
34A Occurrence of Nominal Plurality 	GB039	Not exact match
8A Lateral Consonants 		
94A Order of Adverbial Subordinator and Clause 		
18A Absence of Common Consonants		
111A Nonperiphrastic Causative Constructions 	GB156	
